sku,descricao,descricaoComplementar,unidade,ncm,gtin,origem,tipo,marca_id,categoria_id,preco,precoCusto,estoque_controlar,estoque_inicial
PROD0001,Produto Teste 1,Produto Teste 1,UN,73181500,7891234567890,0,simples,PROD0001,PROD0001,2.5,1.1,True,500
PROD0002,Produto Teste 2,Produto Teste 2,UN,73181500,7891234567890,0,simples,PROD0002,PROD0002,2.5,1.1,True,500
PROD0003,Produto Teste 3,Produto Teste 3,UN,73181500,7891234567890,0,simples,PROD0003,PROD0003,2.5,1.1,True,500
PROD0004,Produto Teste 4,Produto Teste 4,UN,73181500,7891234567890,0,simples,PROD0004,PROD0004,2.5,1.1,True,500
PROD0005,Produto Teste 5,Produto Teste 5,UN,73181500,7891234567890,0,simples,PROD0005,PROD0005,2.5,1.1,True,500
PROD0006,Produto Teste 6,Produto Teste 6,UN,73181500,7891234567890,0,simples,PROD0006,PROD0006,2.5,1.1,True,500
PROD0007,Produto Teste 7,Produto Teste 7,UN,73181500,7891234567890,0,simples,PROD0007,PROD0007,2.5,1.1,True,500
PROD0008,Produto Teste 8,Produto Teste 8,UN,73181500,7891234567890,0,simples,PROD0008,PROD0008,2.5,1.1,True,500
PROD0009,Produto Teste 9,Produto Teste 9,UN,73181500,7891234567890,0,simples,PROD0009,PROD0009,2.5,1.1,True,500
PROD0010,Produto Teste 10,Produto Teste 10,UN,73181500,7891234567890,0,simples,PROD0010,PROD0010,2.5,1.1,True,500
PROD0011,Produto Teste 11,Produto Teste 11,UN,73181500,7891234567890,0,simples,PROD0011,PROD0011,2.5,1.1,True,500
PROD0012,Produto Teste 12,Produto Teste 12,UN,73181500,7891234567890,0,simples,PROD0012,PROD0012,2.5,1.1,True,500
PROD0013,Produto Teste 13,Produto Teste 13,UN,73181500,7891234567890,0,simples,PROD0013,PROD0013,2.5,1.1,True,500
PROD0014,Produto Teste 14,Produto Teste 14,UN,73181500,7891234567890,0,simples,PROD0014,PROD0014,2.5,1.1,True,500
PROD0015,Produto Teste 15,Produto Teste 15,UN,73181500,7891234567890,0,simples,PROD0015,PROD0015,2.5,1.1,True,500
PROD0016,Produto Teste 16,Produto Teste 16,UN,73181500,7891234567890,0,simples,PROD0016,PROD0016,2.5,1.1,True,500
PROD0017,Produto Teste 17,Produto Teste 17,UN,73181500,7891234567890,0,simples,PROD0017,PROD0017,2.5,1.1,True,500
PROD0018,Produto Teste 18,Produto Teste 18,UN,73181500,7891234567890,0,simples,PROD0018,PROD0018,2.5,1.1,True,500
PROD0019,Produto Teste 19,Produto Teste 19,UN,73181500,7891234567890,0,simples,PROD0019,PROD0019,2.5,1.1,True,500
