sku,descricao,descricaoComplementar,unidade,ncm,gtin,origem,tipo,marca_id,categoria_id,preco,precoCusto,estoque_controlar,estoque_inicial
PRD-011,Parafuso Sextavado M8x40,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-012,Cabo de Rede Cat6 5m,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-013,Fita Isolante 19mm x 10m,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-014,Lâmpada LED 9W Bivolt,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-015,Multímetro Digital Portátil,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-016,Parafuso Sextavado M8x40,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-017,Cabo de Rede Cat6 5m,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-018,Fita Isolante 19mm x 10m,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-019,Lâmpada LED 9W Bivolt,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-020,Multímetro Digital Portátil,Aço inox,UN,73181500,7891234567890,s,simples,1,10,2.50,1.10,true,500
PRD-021,Parafuso Sextavado M8x40,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-022,Cabo de Rede Cat6 5m,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-023,Fita Isolante 19mm x 10m,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-024,Lâmpada LED 9W Bivolt,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-025,Multímetro Digital Portátil,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-026,Parafuso Sextavado M8x40,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-027,Cabo de Rede Cat6 5m,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-028,Fita Isolante 19mm x 10m,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-029,Lâmpada LED 9W Bivolt,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-030,Multímetro Digital Portátil,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-031,Parafuso Sextavado M8x40,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
PRD-032,Cabo de Rede Cat6 5m,Aço inox,UN,73181500,7891234567890,0,simples,1,10,2.50,1.10,true,500
